company,any_continuity,grouping
J.B. Hunt Transport Services,,
J.C. Penney,,
J.E. Seagram,,
J.M. Huber,,
J.M. Smucker,,
J.P. Industries,,
J.P. Morgan,yes,
J.P. Morgan Chase,yes,85
J.P. Morgan Chase & Co.,yes,
J.P. Stevens,,
J&L Specialty Steel,,
Jabil,yes,
Jabil Circuit,yes,
Jacobs Engineering Group,yes,86
Jacobs Engineering Grp.,yes,86
Jacuzzi Brands,,
Jarden,,
JDS Uniphase,,
Jefferies Financial Group,,
Jefferson-Pilot,,
Jepson,,
JetBlue Airways,,
John Hancock Financial Svcs.,,
Johnson & Johnson,,
Johnson Controls,,
Johnson Service,,
Jonathan Logan,,
Jones & Laughlin Steel,,
Jones Apparel Group,,
Jones Financial,yes,
Jones Financial (Edward Jones),yes,
Jones Lang LaSalle,,
Jos. Schlitz Brewing,,
Joslyn Manufacturing & Supply,,
Jostens,,
Joy Global,,
Joy Technologies,,
JP Morgan Chase,yes,85
JPMorgan Chase,yes,85
JPS Textile Group,,
Kaiser Industries,,
Kaiser Steel,,
Kaisertech,,
Kaman,,
Kane-Miller,,
Katy Industries,,
Kayser (Julius),,
Kayser-Roth,,
KB Home,,
KBR,,
Keebler,,
Kellogg,,
Kellwood,,
Kelly Services,,
Kelsey-Hayes,,
Kendall,yes,
Kendall International,yes,
Kennametal,,
Kennecott,,
Kenner Parker Toys,,
Kern County Land,,
Kerr Glass Manufacturing,,
Kerr-McGee,,
Keurig Dr Pepper,,
Kewanee Industries,,
KeyCorp,,
KeySpan,,
Keystone Consolidated Industries,,
Kidde,,
Kimball International,,
Kimberly-Clark,,
Kinder Morgan,yes,
Kinder Morgan Energy,yes,
Kindred Healthcare,,
KKR,,
Kmart Holding,,
Knight,,
Knight-Ridder,,
Knoll International Holdings,,
Knudsen,,
Koehring,,
Kohl's,yes,87
Kohl’s,yes,87
Kohler,,
Koppers,,
Kraft,yes,
Kraft Foods,yes,
Kraft Foods Group,yes,
Kraft Heinz,yes,
Kroehler Manufacturing,,
Kroger,,
KVP Sutherland Paper,,
L Brands,,
L-3 Communications,yes,90
L.B. Foster,,
L3 Technologies,yes,
L3Harris Technologies,yes,
La-Z-Boy,,
Laboratory Corp. of America,,
Laclede Steel,,
Lafarge,,
Laidlaw International,,
Lam Research,,
Lancaster Colony,,
Land O'Lakes,yes,88
Land O’Lakes,yes,88
LandAmerica Financial,,
Langendorf United Bakeries,,
Lansing Trade Group,,
Las Vegas Sands,,
Lear,yes,
Lear Siegler,yes,
Lees (James) & Sons,,
Legg Mason,,
Leggett & Platt,,
Lehigh Portland Cement,,
Lehman Brothers,yes,
Lehman Brothers Hldgs.,yes,89
Lehman Brothers Holdings,yes,89
Leidos Holdings,,
Lennar,,
Lennox International,,
Leslie Fay,,
Leucadia National,,
Level 3 Communications,yes,90
Lever Brothers,,
Levi Strauss,,
Lexmark International,,
LG&E Energy,,
"Libby, McNeill & Libby",,
Liberty Global,yes,
Liberty Interactive,yes,
Liberty Media,yes,
Liberty Mutual Ins. Group,yes,91
Liberty Mutual Insurance Group,yes,91
Liebmann Breweries,,
LifePoint Health,,
Liggett Group,,
Lily-Tulip Cup,,
Limited Brands,,
Lincoln Electric Holdings,,
Lincoln National,,
Link-Belt,,
Lion Oil,,
Liquid Air,,
Liquid Carbonic,,
Lithia Motors,,
Litton Industries,,
Live Nation Entertainment,,
Liz Claiborne,,
LKQ,,
Lockheed Martin,,
Loctite,,
Loews,,
Lone Star Industries,,
Lone Star Steel,,
Lone Star Technologies,,
Long Island Lighting,,
Long-Bell Lumber Co.,,
Longs Drug Stores,,
Longview Fibre,,
Loral,,
Lorillard,,
Louisiana Land & Exploration,,
Louisiana-Pacific,,
Lowe's,yes,92
Lowe’s,yes,92
LPL Technologies,,
LSI Logic,,
LTV,,
Lubrizol,,
Lucent Technologies,,
Ludlow,,
Lukens,yes,
Lukens Steel,yes,
Lutheran Brotherhood,,
Lykes,,
Lyondell Chemical,,
M. Lowenstein,,
M.A. Hanna,,
M/A-Com,,
M&T Bank Corp.,,
Mack Trucks,,
MacMillan,,
Macy's,yes,93
Macy’s,yes,93
Magellan Health,,
Magic Chef,,
Magma Copper,,
Magnavox,,
Magnetek,,
Mallinckrodt,,
Management Assistance,,
Manitowoc,,
Manpower,yes,
ManpowerGroup,yes,
Mansfield Tire & Rubber,,
Manville,,
Mapco,,
Marathon,yes,
Marathon Manufacturing,yes,
Marathon Oil,yes,
Marathon Petroleum,yes,
Maremont,,
Marion,,
Marion Laboratories,,
Mark IV Industries,,
Markel,,
Marley,,
Marmon Group,,
Marquette Cement Manufacturing,,
Marriott International,,
Marsh & McLennan,,
Marshall & Ilsley Corp.,,
Marshall-Wells,,
Martin Marietta,,
Maryland Cup,,
Masco,,
Masonite,,
Mass. Mutual Life Ins.,yes,94
Massachusetts Mutual Life Insurance,yes,94
Massey Energy,,
MasTec,,
MasterCard,yes,95
Mastercard,yes,95
Matan Industries,,
Material Service,,
Mattel,,
Max Factor,,
Maxtor,,
Maxus Energy,,
Maxxam,,
May Dept. Stores,,
Maytag,,
MBNA,,
MBPXL,,
MCA,,
McCall,,
McCormick,,
McDermott,,
McDonald's,yes,96
McDonald’s,yes,96
McDonnell Douglas,,
McDonough,,
McGraw Hill Financial,yes,
McGraw-Edison,yes,
McGraw-Hill,yes,
MCI,yes,
MCI Communications,yes,
MCI WorldCom,yes,
McKesson,,
McLouth Steel,,
MDC Holdings,,
MDU Resources Group,,
Mead,yes,
Mead Johnson,yes,
MeadWestvaco,,
Medco Health Solutions,,
Media General,,
"MediaOne Group, Inc.",,
Medtronic,,
MEI,,
Mellon Financial Corp.,,
Memorex Telex,,
Mercantile Bancorp.,,
Mercantile Stores,,
Merck,,
Meredith,,
Merisel,,
Meritor,yes,
Meritor Automotive,yes,
Merrill Lynch,,
Merritt-Chapman & Scott,,
Mesta Machine,,
Metaldyne,,
MetLife,,
Metromedia,yes,
Metromedia International,yes,
MetroPCS Communications,,
MGM Mirage,yes,
MGM Resorts International,yes,
Michaels Cos.,,
Michigan Milk Prod. Assoc.,,
MicroAge,,
Microdot,,
Micron Technology,,
Microsoft,,
MID-AMERICA DAIRYMEN,,
Mid-Continent Petroleum,,
MidAmerican Energy Holdings,,
Midland Cooperatives,,
Midland-Ross,,
Miehle-Goss-Dexter,,
Miles Laboratories,,
Millennium Chemicals,,
Millipore,,
Miniscribe,,
Minneapolis-Moline,,
Minnesota & Ontario Paper,,
Minstar,,
Minute Maid,,
Mirant,,
Mitchell Energy & Devel.,,
Mobay,,
Mobil,,
Mohasco,,
Mohawk Industries,,
Molex,,
Molina Healthcare,,
Molson Coors Brewing,,
Momentive Specialty Chemicals,,
Mondelez International,yes,97
Mondelēz International,yes,97
Monfort of Colorado,,
Monsanto,,
Moore McCormack Resources,,
Morgan Stanley,yes,
Morgan Stanley Group,yes,
Morrell (John),,
Morrison Knudsen,,
Morton International,,
Mosaic,,
Motor Products,,
Motor Wheel,,
Motorola,yes,
Motorola Mobility Holdings,yes,
Motorola Solutions,yes,
MRC Global,,
Mueller Brass,,
Mueller Industries,,
Mullins Manufacturing,,
Murphy Oil,,
Murphy USA,,
Murray Corp.,,
Mutual of Omaha Ins.,yes,98
Mutual of Omaha Insurance,yes,98
Mylan,,
Nabisco Brands,,
Nabisco Group Holdings,,
Nacco Industries,,
Nalco Chemical,,
Nash Finch,yes,99
Nash-Finch,yes,99
Nashua,,
National Automotive Fibers,,
National Can,,
National City Corp.,,
National Container,,
National Gypsum,,
National Homes,,
National Industries,,
National Intergroup,,
National Oilwell Varco,,
National Presto Industries,,
National Semiconductor,,
National Service Industries,,
National Starch & Chemical,,
National Steel,,
National Sugar Refining,,
National Supply,,
National Union Electric,,
Nationwide,,
Natl. Coop. Refinery Assn.,,
Natl. Malleable & Steel Castings,,
Natomas,,
Navient,yes,
Navistar International,yes,
NCH,,
NCR,,
Nebco Evans,,
Nebraska Consolidated Mills,,
Neiman Marcus,,
Nekoosa-Edwards Paper,,
Nerco,,
NetApp,,
Netflix,,
New Century Energies,,
New England Electric Sys.,,
New England Mutual Life Ins.,,
New York Life Insurance,,
New York Shipbuilding,,
New York Times,,
Newell Brands,,
Newell Rubbermaid,,
Newmont Goldcorp,,
Newmont Mining,,
Newport News Shipbuilding,,
News Corp.,,
Nextel Communications,,
NextEra Energy,,
NGL Energy Partners,,
NI Industries,,
Niagara Mohawk Holdings,,
NII Holdings,,
Nike,,
Niles-Bement-Pond,,
NiSource,,
NL Industries,,
Noble Energy,,
NorAm Energy,,
Nordstrom,,
Norfolk Southern,,
Norin,,
Norris Industries,,
Norris-Thermador,,
Nortek,,
North American Coal,,
North American Philips,,
Northeast Utilities,,
Northern Trust,yes,
Northern Trust Corp.,yes,
Northrop Grumman,,
Northwest Airlines,,
NorthWestern,,
Northwestern Mutual,,
Northwestern Steel & Wire,,
Norton,yes,
Norton Simon,yes,
Noxell,,
NRG Energy,,
NSTAR,,
NTL,,
NTL Europe,,
Nucor,,
NuStar Energy,,
NVF,,
Nvidia,,
NVR,,
Nynex,,
NYSE Euronext,,
O'Reilly Automotive,yes,110
O’Reilly Automotive,yes,110
Oak Industries,,
Oaktree Capital Group,,
Occidental Petroleum,,
Ocean Spray,,
Office Depot,,
OfficeMax,,
Ogden,,
OGE Energy,,
Old Republic International,yes,111
Old Republic Intl.,yes,111
Olin,,
Olinkraft,,
Olivetti Underwood,,
Olsten,,
OM Group,,
Omega-Alpha,,
Omnicare,,
Omnicom Group,,
ON Semiconductor,,
ONEOK,yes,112
Oneok,yes,112
Oracle,,
Oregon Steel Mills,,
Oryx Energy,,
Oscar Mayer,,
Oshkosh,yes,
Oshkosh Truck,yes,
Otis Elevator,,
Outboard Marine,,
Owens & Minor,,
Owens Corning,,
Owens-Illinois,,
Oxford Health Plans,,
Oxford Industries,,
Oxford Paper,,
P.H. Glatfelter,,
P.R. Mallory,,
Pabst Brewing,,
Paccar,,
Pacific Enterprises,,
Pacific Life,,
Pacific Resources,,
Pacific Telesis Group,,
Pacific Vegetable Oil,,
PacifiCare Health Sys.,,
PacifiCorp,,
Packaging Corp. of America,,
Pacolet Industries,,
Paine Webber Group,,
Pall,,
Palm Beach,,
PanEnergy,,
Pantry,,
"Parke, Davis",,
Parker Hannifin,yes,113
Parker-Hannifin,yes,113
Pathmark Stores,,
Patterson,,
Payless Cashways,,
PayPal Holdings,,
PBF Energy,,
Peabody Coal,,
Peabody Energy,,
Peabody Holding,,
Peabody International,,
Peavey,,
Penn Central,,
Penn Traffic,,
Penn-Dixie Industries,,
Pennwalt Corp,,
Pennzoil,yes,
Pennzoil-Quaker State,yes,
Penske Automotive Group,,
Pentair,,
Pepco Holdings,,
Pepperell Manufacturing,,
Pepsi Bottling,yes,
PepsiAmericas,yes,
PepsiCo,yes,
Performance Food Group,,
Perini,,
PerkinElmer,,
Permanente Cement,,
Pet,,
Peter Eckrich & Sons,,
Peter Kiewit Sons',yes,114
Peter Kiewit Sons’,yes,114
PetSmart,,
Pfizer,,
PG&E,yes,
PG&E Corp.,yes,
Pharmacia,,
Phelps Dodge,,
Philadelphia & Reading,,
Philco,,
Philip Morris International,,
Philips Industries,,
Phillips 66,,
Phillips-Van Heusen,,
Phoenix,,
Pilgrim's Pride,,
Pillsbury,,
Pinnacle West Capital,,
Pioneer Natural Resources,,
Pitney Bowes,,
Pittsburgh Coke & Chemical,,
Pittsburgh Steel,,
Pittway,,
Plains All Amer. Pipeline,yes,115
Plains All American Pipeline,yes,115
Plains GP Holdings,,
Plains Resources,,
Ply Gem,,
Plymouth Oil,,
PNC Financial Services,yes,
PNC Financial Services Group,yes,
Pneumo Dynamics,,
Pocahontas Fuel,,
Polaris Industries,,
Polaroid,,
Polo Ralph Lauren,,
PolyOne,,
Pope & Talbot,,
Post Holdings,,
Potlatch,,
PPG Industries,,
PPL,,
Prairie Farms Dairy,,
Praxair,,
Precision Castparts,,
Premark International,,
Premcor,,
Prentice-Hall,,
Priceline Group,yes,
Priceline.com,yes,
Primedia,,
Principal Financial,yes,
Principal Financial Group,yes,
Procter & Gamble,,
Progress Energy,,
Progressive,,
ProLogis,,
ProSource,,
Providian,yes,
Providian Financial,yes,
Prudential Financial,,
Prudential Ins. Co. of America,,
Public Service Enterprise Group,,
Publicker Industries,,
Publix Super Markets,,
Puget Energy,,
Pullman,,
Pulte Homes,,
PulteGroup,,
Pure Oil,,
Purex Industries,,
Purolator,,
PVH,,
Quaker Oats,,
Quaker State,yes,
Qualcomm,,
Quanex,,
Quanta Services,,
Quantum,yes,
Quantum Chemical,yes,
Quest Diagnostics,,
Questor,,
Quintiles IMS Holdings,,
Quintiles Transnational Holdings,,
Qurate Retail,,
Qwest Communications,,
R.H. Donnelley,yes,
R.R. Donnelley & Sons,yes,
RadioShack,,
Ralph Lauren,,
Ralston Purina,,
Rapid-American,,
Rath Packing,,
Raybestos-Manhattan,,
Raychem,,
Raymond James Financial,,
Raytheon,,
RCA,,
Reader's Digest Assn.,,
Realogy,yes,
Realogy Holdings,yes,
Redman Industries,,
Reebok International,,
Reeves Brothers,,
Regeneron Pharmaceuticals,,
Regions Financial,,
Reichhold Chemicals,,
Reinsurance Group of America,,
Reliance Electric,,
Reliance Group Holdings,,
Reliance Steel & Alum.,,
Reliance Steel & Aluminum,,
Reliant Energy,,
ReliaStar Financial,,
Remington Arms,,
Remington Rand,,
Republic,,
Republic Aviation,,
Republic New York Corp.,,
Republic Services,,
Republic Steel,,
Research-Cottrell,,
Revco D.S.,,
Revere Copper & Brass,,
Revlon,,
Rexene,,
Rexnord,,
Reynolds & Reynolds,,
Reynolds American,,
Reynolds Metals,,
Rheem Manufacturing,,
Rheingold,,
Rhone-Poulenc Rorer,,
Riceland Foods,,
Richardson-Vicks,,
Richfield Oil,,
Richfood Holdings,,
Riegel Paper,,
Riegel Textile,,
Rite Aid,,
Riviana Foods,,
Roadway,,
Robert Half International,,
Robertshaw Controls,yes,
Robertshaw-Fulton Controls,yes,
Robertson-Ceco,,
Rochester & Pittsburgh Coal,,
Rock-Tenn,,
Rockwell Automation,,
Rockwell Collins,,
Rockwell Manufacturing,,
Rockwell-Standard,,
Rohm & Haas,,
Rohr,,
ROLM,,
Roper,,
Ross Stores,,
Roundy's,,
Royal Crown Companies,,
Royal McBee,,
RPM International,,
Rubbermaid,,
Ruberoid,,
Ruddick,,
Russell,,
Ryan Aeronautical,,
Ryder System,,
Ryerson,,
Ryerson Tull,,
Rykoff-Sexton,,
Ryland Group,,
S & W Fine Foods,,
S.S. Pierce,,
S&C Holdco 3,,
S&P Global,,
Safeco,,
Safety-Kleen,,
Safeway,,
SAIC,,
Saks,,
salesforce.com,,
Salomon,,
Sanders Associates,,
SanDisk,,
Sanmina,yes,
Sanmina-SCI,yes,
Santa Fe Pacific,,
Sara Lee,,
Savannah Foods & Industries,,
Savannah Sugar Refining,,
Saxon Industries,,
SBC Communications,,
SCANA,,
Scana,,
Schenley Industries,,
Schering-Plough,,
Schlitz Brewing,,
SCI Systems,,
Science Applications Intl.,,
Scientific-Atlanta,,
Scott & Fetzer,,
Scott Paper,,
Scovill,,
Seaboard,,
Seagate Technology,,
Sealed Air,,
Sealy,,
Sears Holdings,,
Sears Roebuck,,
Securian Financial Group,,
Security Benefit,,
Seeger Refrigerator,,
Sempra Energy,,
Sequa,,
Servel,,
Service Corp. Intl.,,
Service Merchandise,,
ServiceMaster,,
Shaklee,,
Sharon Steel,,
Shaw Group,yes,
Shaw Industries,yes,
Shawmut National Corp.,,
Shell Oil,,
Sheller Manufacturing,,
Sheller-Globe,,
Sherwin-Williams,,
Shoe Corp. of America,,
ShopKo Stores,,
Sierra Pacific Resources,,
Sigma-Aldrich,,
Signal Companies,,
Signal Oil Gas,,
Signode,,
Silgan Holdings,,
Silicon Graphics,,
Simmons,,
Simon Property Group,,
Sinclair Oil,,
Singer,,
Sipco,,
Skelly Oil,,
Skyline,,
SLM,,
Smith International,,
Smith's Food & Drug Centers,,
Smithfield Foods,,
Smurfit-Stone Container,,
Snap-On,,
Sodexho Marriott Services,,
Solar Aircraft,,
Solectron,,
Sonat,,
Sonic Automotive,,
Sonoco Products,,
South Penn Oil,,
Southdown,,
Southern,,
Southern Industries,,
Southern Pacific Rail,,
Southern States Cooperative,,
SouthTrust Corp.,,
Southwest Airlines,,
Southwest Forest Industries,,
Sovereign Bancorp,,
Spartan Stores,,
SpartanNash,,
Specialty Coatings International,,
Spectra Energy,,
Spectrum Brands Holdings,,
Spectrum Group International,,
Spencer Chemical,,
Spencer Foods,,
Spencer Kellogg & Sons,,
Sperry,,
Sperry & Hutchinson,,
Spherion,,
Spiegel,,
Spirit AeroSystems Holdings,,
Sprague Electric,,
Sprague Technologies,,
Springs Industries,,
Sprint,,
Sprint Nextel,,
SPX,,
Square D,,
Squibb,,
SSMC,,
St. Joe Minerals,,
St. Joe Paper,,
St. Joseph Lead,,
St. Jude Medical,,
St. Paul Travelers Cos.,,
St. Regis,,
Staff Leasing,,
Staley Continental,,
Stanadyne,,
Standard Brands,,
Standard Coil Products,,
Standard Commercial,,
Standard Kollsman Industries,,
Standard Motor Products,,
Standard Pacific,,
Standard Packaging,,
Standard Pressed Steel,,
Standard Products,,
Standard Register,,
Stanhome,,
Stanley Black & Decker,,
Stanley Home Products,,
Stanley Warner,,
Stanley Works,,
Staples,,
Starbucks,,
Starwood Hotels & Resorts,,
Starwood Hotels & Rsrts.,,
State Farm Insurance,yes,
State Farm Insurance Cos,yes,116
State Farm Insurance Cos.,yes,116
State St. Corp.,yes,117
State Street Corp.,yes,117
Stater Bros. Holdings,,
Stauffer Chemical,,
Steel Dynamics,,
Steelcase,,
Sterling Chemicals,,
Sterling Drug,,
Stewart & Stevenson Svcs.,,
Stewart-Warner,,
Stokely-Van Camp,,
Stone Container,,
Stop & Shop,,
Storage Technology,,
Stromberg-Carlson,,
Stryker,,
Studebaker,,
Studebaker-Worthington,,
SuCrest,,
Sudbury,,
Summit Bancorp,,
Sun Healthcare Group,,
Sun Microsystems,,
Sun-Diamond Growers,,
Sunbeam/Oster,,
Sundstrand,,
SunGard Data Systems,,
Sunoco,,
Sunray DX Oil,,
Sunray Oil,,
Sunshine Biscuits,,
Suntide Refining,,
SunTrust Banks,,
Superior Oil,,
Supermarkets Genl. Holdings,,
Supervalu,,
Susser Holdings,,
Sutherland Paper,,
Sylvania Electric Products,,
Symantec,,
Synchrony Financial,,
Synnex,,
Sysco,,
Talley Industries,,
Tambrands,,
Tandem Computers,,
Tapestry,,
Tappan,,
Targa Resources,,
Target,,
Teachers Insurance & Annuity Assn.,,
Tech Data,,
Tecumseh Products,,
TEGNA,,
Tektronix,,
Tele-Communications,,
Teledyne,,
Teleflex,,
Telephone & Data Sys.,yes,118
Telephone & Data Systems,yes,118
Tellabs,,
Temple-Inland,,
Tenet Healthcare,,
Tenneco,yes,
Tenneco Automotive,yes,
Tennessee Corp.,,
TEPPCO Partners,,
Terex,,
Tesla,,
Tesoro,,
Texaco,,
Texas Industries,,
Texas Instruments,,
Texas Oil & Gas,,
Texas Utilities,,
Texasgulf,,
Textron,,
Thermo Electron,,
Thermo Fisher Scientific,,
Thiokol,,
Thomas & Betts,,
Thomas J. Lipton,,
Thor Industries,,
Thorn Apple Valley,,
Thrifty PayLess Holdings,,
Thrivent Financial for Lutherans,,
TIAA,yes,
TIAA-CREF,yes,
Tidewater Oil,,
Time Warner,yes,
Time Warner Cable,yes,
Times Mirror,,
Timken,,
Titanium Metals Corp. of America,,
TJX,,
Tobin Packing,,
Todd Shipyards,,
Toll Brothers,,
Tonka,,
Toro,,
Tosco,,
Total Petroleum,,
Toys 'R' Us,yes,120
"Toys ""R"" Us",yes,120
Toys “R” Us,yes,120
Toys `R` Us,yes,120
Tracor,,
Tractor Supply,,
Trane,,
Trans Union,,
Trans World Airlines,,
Transamerica,,
Transco Energy,,
TransMontaigne,,
TravelCenters of America,,
Travelers,yes,
Travelers Cos.,yes,
Travelers Property Casualty,,
Tredegar Industries,,
TreeHouse Foods,,
Tri Valley Growers,,
Triad Hospitals,,
Triangle Industries,,
Triarc,,
Tribune,,
Trinity Industries,,
Truax-Traer Coal,,
True Value,,
TRW,yes,
TRW Automotive Holdings,yes,
Tung-Sol Electric,,
Turner Broadcasting,,
Turner Corp.,,
Tutor Perini,,
Twentieth Century-Fox Film,yes,
Twenty-First Century Fox,yes,
TXU,,
Tyco International,,
Tyco Laboratories,,
Tyco Toys,,
Tyler,,
Tyson Foods,,
U.S. Bancorp,,
U.S. Filter,,
U.S. Foodservice,,
U.S. Healthcare,,
U.S. Hoffman Machinery,,
U.S. Industries,,
U.S. Office Products,,
U.S. Pipe & Foundry,,
U.S. Shoe,,
"U.S. Smelting, Refining & Mining",,
U.S. Steel,,
UAL,,
Udylite,,
UGI,,
UIS,,
Ulta Beauty,,
Ultramar Diamond Shamrock,,
Unicom,,
Unifi,,
Unilever U.S.,,
Union Camp,,
Union Carbide,,
Union Pacific,,
Union Planters Corp.,,
Union Texas,,
Union Texas Natural Gas,,
Uniroyal,,
Uniroyal Chemical,,
Uniroyal Goodrich Tire,,
Unisource,,
Unisys,,
United Auto Group,,
United Continental Holdings,,
United Engineering & Foundry,,
United Merchants & Mfrs.,,
United Natural Foods,,
United Parcel Service,,
United Refining,,
United Rentals,,
United Services Automobile Assn.,yes,121
United Services Automobile Association,yes,121
United States Filter,,
United States Shoe,,
United States Steel,,
United States Surgical,,
United Stationers,,
United Technologies,,
UnitedHealth Group,,
Univar,,
Universal,,
Universal American,,
Universal Foods,,
Universal Forest Prods.,,
Universal Health Services,,
Universal Health Svcs.,,
Universal Leaf Tobacco,,
Universal Match,,
Universal Oil Products,,
Unocal,,
Unum,,
Unum Group,,
UnumProvident,,
UPS,,
URS,,
US Airways Group,,
US Foods,,
US Foods Holding,,
US Pharmaceuticals,,
US West,,
USA Education,,
USAA,,
USF&G,,
USG,,
USM,,
UST,,
Utah International,,
UV Industries,,
Valassis Communications,,
Valero Energy,,
Valhi,,
Valmont Industries,,
Valspar,,
Vanadium,,
Vanguard Health Systems,,
Varian Associates,,
Varity,,
Vector Group,,
Ventas,,
Veritiv,,
Verizon,yes,
Verizon Communications,yes,
Vertol Aircraft,,
VF,,
Viacom,,
Viad,,
Victor Comptometer,,
Virgin Media,,
Virginia-Carolina Chemical,,
Visa,,
Vishay Intertechnology,,
Visking,,
Vista Chemical,,
Visteon,,
Vistra Energy,,
Vitro Corp. of America,,
Vons,,
Voya Financial,,
Vulcan Materials,,
W.R. Berkley,,
W.W. Grainger,,
Wachovia Corp.,,
Wagner Electric,,
Wal-Mart Stores,,
Walgreen,,
Walgreens,,
Walgreens Boots Alliance,,
Walmart,,
Walt Disney,yes,101
Walter Industries,,
Walworth,,
Wang Laboratories,,
Ward Foods,,
Warnaco Group,,
Warner & Swasey,,
Warner Communications,,
Warner-Lambert,,
Warren (S.D.),,
Warren Petroleum,,
Warwick Electronics,,
Washington Group Intl.,,
Washington Mutual,,
Washington Post,,
Waste Management,,
Wayfair,,
Wean United,,
Weatherhead,,
WEC Energy Group,,
Weirton Steel,,
WellCare Health Plans,,
WellChoice,,
Wellman,,
Wellpoint,yes,122
WellPoint,yes,122
WellPoint Health Networks,yes,
Wells Fargo,yes,
Wells Fargo & Co.,yes,
Wendy's International,,
Wesco International,yes,123
WESCO International,yes,123
Wesson Oil & Snowdrift,,
Western & Southern Financial,yes,
Western & Southern Financial Group,yes,
Western Atlas,,
Western Digital,,
Western Gas Resources,,
Western Publishing Group,,
Western Refining,,
Western Union,,
Westinghouse Air Brake,,
Westlake Chemical,,
Westmoreland Coal,,
WestPoint Stevens,,
WestRock,,
Westvaco,,
Weyerhaeuser,,
Wheelabrator-Frye,,
Wheeling Pittsburgh,,
Whirlpool,,
White Consolidated Industries,,
White Motor,,
Whitman,,
Whittaker,,
Whole Foods Market,,
Willamette Industries,,
Williams,yes,
Williams-Sonoma,yes,
Wilson,yes,
Wilson Foods,yes,
Windstream,yes,
Windstream Holdings,yes,
Winn Enterprises,,
Winn-Dixie Stores,,
Winnebago Industries,,
Wisconsin Dairies Cooperative,,
Wisconsin Energy,,
Witco,,
WLR Foods,,
Wm. Wrigley Jr.,,
Woodward Iron,,
World Fuel Services,,
Worthington Industries,,
WPS Resources,,
Wyandotte Chemicals,,
Wyeth,,
Wyman-Gordon,,
Wyndham Destinations,,
Wyndham Worldwide,,
Wynn Resorts,,
Xcel Energy,,
Xerox,,
Xidex,,
XPO Logistics,,
XTO Energy,,
Yahoo,,
Yale & Towne Manufacturing,,
Yellow Roadway,,
York International,,
Young (L.A.) Spring & Wire,,
Youngstown Sheet & Tube,,
YRC Worldwide,,
Yuba Consolidated Industries,,
Yum Brands,,
Yum China Holdings,,
Zenith Electronics,,
Zimmer Biomet Holdings,,
Zoetis,,
Zurn Industries,,
